latitude,longitude
42.7,-86.74
42.7,-86.7
42.7,-86.66
42.7,-86.62
42.7,-86.58
42.7,-86.54
42.7,-86.5
42.7,-86.46
42.7,-86.42
42.7,-86.38
42.7,-86.34
42.7,-86.3
42.7,-86.26
42.7,-86.22
42.74,-87.74
42.74,-87.7
42.74,-87.66
42.74,-87.62
42.74,-87.58
42.74,-87.54
42.74,-87.5
42.74,-87.46
42.74,-87.42
42.74,-87.38
42.74,-87.34
42.74,-87.3
42.74,-87.26
42.74,-87.22
42.74,-87.18
42.74,-87.14
42.74,-87.1
42.74,-87.06
42.74,-87.02
42.74,-86.98
42.74,-86.94
42.74,-86.9
42.74,-86.86
42.74,-86.82
42.74,-86.78
42.74,-86.74
42.74,-86.7
42.74,-86.66
42.74,-86.62
42.74,-86.58
42.74,-86.54
42.74,-86.5
42.74,-86.46
42.74,-86.42
42.74,-86.38
42.74,-86.34
42.74,-86.3
42.74,-86.26
42.74,-86.22
42.78,-87.74
42.78,-87.7
42.78,-87.66
42.78,-87.62
42.78,-87.58
42.78,-87.54
42.78,-87.5
42.78,-87.46
42.78,-87.42
42.78,-87.38
42.78,-87.34
42.78,-87.3
42.78,-87.26
42.78,-87.22
42.78,-87.18
42.78,-87.14
42.78,-87.1
42.78,-87.06
42.78,-87.02
42.78,-86.98
42.78,-86.94
42.78,-86.9
42.78,-86.86
42.78,-86.82
42.78,-86.78
42.78,-86.74
42.78,-86.7
42.78,-86.66
42.78,-86.62
42.78,-86.58
42.78,-86.54
42.78,-86.5
42.78,-86.46
42.78,-86.42
42.78,-86.38
42.78,-86.34
42.78,-86.3
42.78,-86.26
42.82,-87.74
42.82,-87.7
42.82,-87.66
42.82,-87.62
42.82,-87.58
42.82,-87.54
42.82,-87.5
42.82,-87.46
42.82,-87.42
42.82,-87.38
42.82,-87.34
42.82,-87.3
42.82,-87.26
42.82,-87.22
42.82,-87.18
42.82,-87.14
42.82,-87.1
42.82,-87.06
42.82,-87.02
42.82,-86.98
42.82,-86.94
42.82,-86.9
42.82,-86.86
42.82,-86.82
42.82,-86.78
42.82,-86.74
42.82,-86.7
42.82,-86.66
42.82,-86.62
42.82,-86.58
42.82,-86.54
42.82,-86.5
42.82,-86.46
42.82,-86.42
42.82,-86.38
42.82,-86.34
42.82,-86.3
42.82,-86.26
42.86,-87.82
42.86,-87.78
42.86,-87.74
42.86,-87.7
42.86,-87.66
42.86,-87.62
42.86,-87.58
42.86,-87.54
42.86,-87.5
42.86,-87.46
42.86,-87.42
42.86,-87.38
42.86,-87.34
42.86,-87.3
42.86,-87.26
42.86,-87.22
42.86,-87.18
42.86,-87.14
42.86,-87.1
42.86,-87.06
42.86,-87.02
42.86,-86.98
42.86,-86.94
42.86,-86.9
42.86,-86.86
42.86,-86.82
42.86,-86.78
42.86,-86.74
42.86,-86.7
42.86,-86.66
42.86,-86.62
42.86,-86.58
42.86,-86.54
42.86,-86.5
42.86,-86.46
42.86,-86.42
42.86,-86.38
42.86,-86.34
42.86,-86.3
42.86,-86.26
42.86,-86.22
42.9,-87.82
42.9,-87.78
42.9,-87.74
42.9,-87.7
42.9,-87.66
42.9,-87.62
42.9,-87.58
42.9,-87.54
42.9,-87.5
42.9,-87.46
42.9,-87.42
42.9,-87.38
42.9,-87.34
42.9,-87.3
42.9,-87.26
42.9,-87.22
42.9,-87.18
42.9,-87.14
42.9,-87.1
42.9,-87.06
42.9,-87.02
42.9,-86.98
42.9,-86.94
42.9,-86.9
42.9,-86.86
42.9,-86.82
42.9,-86.78
42.9,-86.74
42.9,-86.7
42.9,-86.66
42.9,-86.62
42.9,-86.58
42.9,-86.54
42.9,-86.5
42.9,-86.46
42.9,-86.42
42.9,-86.38
42.9,-86.34
42.9,-86.3
42.9,-86.26
42.94,-87.82
42.94,-87.78
42.94,-87.74
42.94,-87.7
42.94,-87.66
42.94,-87.62
42.94,-87.58
42.94,-87.54
42.94,-87.5
42.94,-87.46
42.94,-87.42
42.94,-87.38
42.94,-87.34
42.94,-87.3
42.94,-87.26
42.94,-87.22
42.94,-87.18
42.94,-87.14
42.94,-87.1
42.94,-87.06
42.94,-87.02
42.94,-86.98
42.94,-86.94
42.94,-86.9
42.94,-86.86
42.94,-86.82
42.94,-86.78
42.94,-86.74
42.94,-86.7
42.94,-86.66
42.94,-86.62
42.94,-86.58
42.94,-86.54
42.94,-86.5
42.94,-86.46
42.94,-86.42
42.94,-86.38
42.94,-86.34
42.94,-86.3
42.94,-86.26
42.98,-87.82
42.98,-87.78
42.98,-87.74
42.98,-87.7
42.98,-87.66
42.98,-87.62
42.98,-87.58
42.98,-87.54
42.98,-87.5
42.98,-87.46
42.98,-87.42
42.98,-87.38
42.98,-87.34
42.98,-87.3
42.98,-87.26
42.98,-87.22
42.98,-87.18
42.98,-87.14
42.98,-87.1
42.98,-87.06
42.98,-87.02
42.98,-86.98
42.98,-86.94
42.98,-86.9
42.98,-86.86
42.98,-86.82
42.98,-86.78
42.98,-86.74
42.98,-86.7
42.98,-86.66
42.98,-86.62
42.98,-86.58
42.98,-86.54
42.98,-86.5
42.98,-86.46
42.98,-86.42
42.98,-86.38
42.98,-86.34
42.98,-86.3
42.98,-86.26
43.02,-87.86
43.02,-87.82
43.02,-87.78
43.02,-87.74
43.02,-87.7
43.02,-87.66
43.02,-87.62
43.02,-87.58
43.02,-87.54
43.02,-87.5
43.02,-87.46
43.02,-87.42
43.02,-87.38
43.02,-87.34
43.02,-87.3
43.02,-87.26
43.02,-87.22
43.02,-87.18
43.02,-87.14
43.02,-87.1
43.02,-87.06
43.02,-87.02
43.02,-86.98
43.02,-86.94
43.02,-86.9
43.02,-86.86
43.02,-86.82
43.02,-86.78
43.02,-86.74
43.02,-86.7
43.02,-86.66
43.02,-86.62
43.02,-86.58
43.02,-86.54
43.02,-86.5
43.02,-86.46
43.02,-86.42
43.02,-86.38
43.02,-86.34
43.02,-86.3
43.02,-86.26
43.06,-87.86
43.06,-87.82
43.06,-87.78
43.06,-87.74
43.06,-87.7
43.06,-87.66
43.06,-87.62
43.06,-87.58
43.06,-87.54
43.06,-87.5
43.06,-87.46
43.06,-87.42
43.06,-87.38
43.06,-87.34
43.06,-87.3
43.06,-87.26
43.06,-87.22
43.06,-87.18
43.06,-87.14
43.06,-87.1
43.06,-87.06
43.06,-87.02
43.06,-86.98
43.06,-86.94
43.06,-86.9
43.06,-86.86
43.06,-86.82
43.06,-86.78
43.06,-86.74
43.06,-86.7
43.06,-86.66
43.06,-86.62
43.06,-86.58
43.06,-86.54
43.06,-86.5
43.06,-86.46
43.06,-86.42
43.06,-86.38
43.06,-86.34
43.06,-86.3
43.1,-87.82
43.1,-87.78
43.1,-87.74
43.1,-87.7
43.1,-87.66
43.1,-87.62
43.1,-87.58
43.1,-87.54
43.1,-87.5
43.1,-87.46
43.1,-87.42
43.1,-87.38
43.1,-87.34
43.1,-87.3
43.1,-87.26
43.1,-87.22
43.1,-87.18
43.1,-87.14
43.1,-87.1
43.1,-87.06
43.1,-87.02
43.1,-86.98
43.1,-86.94
43.1,-86.9
43.1,-86.86
43.1,-86.82
43.1,-86.78
43.1,-86.74
43.1,-86.7
43.1,-86.66
43.1,-86.62
43.1,-86.58
43.1,-86.54
43.1,-86.5
43.1,-86.46
43.1,-86.42
43.1,-86.38
43.1,-86.34
43.1,-86.3
43.14,-87.86
43.14,-87.82
43.14,-87.78
43.14,-87.74
43.14,-87.7
43.14,-87.66
43.14,-87.62
43.14,-87.58
43.14,-87.54
43.14,-87.5
43.14,-87.46
43.14,-87.42
43.14,-87.38
43.14,-87.34
43.14,-87.3
43.14,-87.26
43.14,-87.22
43.14,-87.18
43.14,-87.14
43.14,-87.1
43.14,-87.06
43.14,-87.02
43.14,-86.98
43.14,-86.94
43.14,-86.9
43.14,-86.86
43.14,-86.82
43.14,-86.78
43.14,-86.74
43.14,-86.7
43.14,-86.66
43.14,-86.62
43.14,-86.58
43.14,-86.54
43.14,-86.5
43.14,-86.46
43.14,-86.42
43.14,-86.38
43.14,-86.34
43.14,-86.3
43.18,-87.86
43.18,-87.82
43.18,-87.78
43.18,-87.74
43.18,-87.7
43.18,-87.66
43.18,-87.62
43.18,-87.58
43.18,-87.54
43.18,-87.5
43.18,-87.46
43.18,-87.42
43.18,-87.38
43.18,-87.34
43.18,-87.3
43.18,-87.26
43.18,-87.22
43.18,-87.18
43.18,-87.14
43.18,-87.1
43.18,-87.06
43.18,-87.02
43.18,-86.98
43.18,-86.94
43.18,-86.9
43.18,-86.86
43.18,-86.82
43.18,-86.78
43.18,-86.74
43.18,-86.7
43.18,-86.66
43.18,-86.62
43.18,-86.58
43.18,-86.54
43.18,-86.5
43.18,-86.46
43.18,-86.42
43.18,-86.38
43.18,-86.34
43.22,-87.86
43.22,-87.82
43.22,-87.78
43.22,-87.74
43.22,-87.7
